County,Precinct_ID,Precinct_name,Black_Male_reg,Black_Male_voted,Black_Female_reg,Black_Female_voted,Black_unknown_reg,Black_unknown_voted,White_Male_reg,White_Male_voted,White_Female_reg,White_Female_voted,White_unknown_reg,White_unknown_voted,Asian_Male_reg,Asian_Male_voted,Asian_Female_reg,Asian_Female_voted,Asian_unknown_reg,Asian_unknown_voted,Hisp_Male_reg,Hisp_Male_voted,Hisp_Female_reg,Hisp_Female_voted,Hisp_unknown_reg,Hisp_unknown_voted,NAm_Male_reg,NAm_Male_voted,NAm_Female_reg,NAm_Female_voted,NAm_unknown_reg,NAm_unknown_voted,Other_Male_reg,Other_Male_voted,Other_Female_reg,Other_Female_voted,Other_unknown_reg,Other_unknown_voted,Unknown_Male_reg,Unknown_Male_voted,Unknown_Female_reg,Unknown_Female_voted,Unknown_unknown_reg,Unknown_unknown_voted,Total_reg,Total_voted
GLYNN,1713,sterling elementary,206,100,264,165,0,0,1537,913,1672,990,3,2,23,5,26,11,0,0,36,10,42,10,0,0,7,2,2,0,0,0,12,4,19,7,0,0,218,79,214,80,2,1,4283,2379
GLYNN,1923,marshes of glynn,251,134,273,180,1,0,1068,608,1203,692,1,0,4,2,11,3,0,0,15,10,22,9,0,0,5,4,2,0,0,0,15,7,16,9,0,0,150,57,154,56,1,1,3192,1772
GLYNN,1933,satilla marsh school,132,76,198,116,1,0,1003,601,1025,608,3,2,11,5,15,8,0,0,18,9,20,9,0,0,3,0,3,1,0,0,9,3,14,7,0,0,127,59,142,70,0,0,2724,1574
GLYNN,1943,blythe island baptist ,52,26,81,46,0,0,971,604,1054,680,0,0,7,4,6,3,0,0,12,2,14,3,0,0,1,0,4,3,0,0,8,3,8,2,0,0,102,35,102,38,1,1,2423,1450
GLYNN,2713,christian renewal,18,8,15,8,0,0,1478,1038,1749,1219,2,0,4,1,9,3,0,0,14,8,12,6,0,0,3,3,0,0,0,0,8,6,12,6,0,0,148,76,208,127,5,3,3685,2512
GLYNN,2923,oglethorpe point,37,16,35,26,0,0,1061,761,1218,866,3,3,7,3,15,10,0,0,10,3,14,7,0,0,2,0,0,0,0,0,9,5,9,5,0,0,120,73,110,73,1,1,2651,1852
GLYNN,2933,st williams church,35,10,29,19,0,0,1716,1175,2169,1521,2,0,6,3,17,10,0,0,18,9,24,11,0,0,1,1,1,1,0,0,11,4,13,7,0,0,199,111,181,93,1,0,4423,2975
GLYNN,2943,first baptist,50,19,60,38,0,0,1680,1157,2152,1472,7,5,9,6,15,5,0,0,15,6,17,7,1,1,2,1,1,0,0,0,8,6,9,6,0,0,185,92,204,101,3,3,4418,2925
GLYNN,2953,jekyll island,3,1,1,0,0,0,305,223,360,254,0,0,0,0,1,1,0,0,3,1,5,1,0,0,0,0,0,0,0,0,1,1,4,2,0,0,43,20,41,27,0,0,767,531
GLYNN,3713,sterling ch. of god,256,125,340,194,0,0,1171,569,1445,679,1,0,19,4,27,8,0,0,51,16,46,11,0,0,1,0,3,0,0,0,16,5,18,6,0,0,212,60,205,67,3,2,3814,1746
GLYNN,3723,se baptist bldg,154,59,216,115,0,0,639,338,781,402,1,1,17,5,16,3,0,0,17,5,24,9,0,0,2,0,0,0,0,0,8,2,6,1,0,0,108,31,103,29,0,0,2092,1000
GLYNN,3733,career academy,149,70,189,110,0,0,1029,614,1145,667,4,3,14,6,13,8,0,0,27,6,36,9,0,0,2,1,1,1,0,0,10,6,10,4,0,0,121,37,136,58,0,0,2886,1600
GLYNN,3743,c b greer school,239,104,261,132,0,0,1111,630,1199,693,3,2,27,9,36,9,0,0,44,15,49,23,1,1,5,2,1,1,0,0,16,5,19,8,0,0,187,73,210,91,2,1,3410,1799
GLYNN,4913,ballard community ,246,78,360,160,0,0,921,485,1253,616,0,0,31,5,20,6,0,0,38,9,38,6,1,1,4,1,6,1,0,0,12,7,20,6,0,0,179,46,186,63,4,2,3319,1492
GLYNN,4923,northside church,559,250,836,464,0,0,617,327,719,377,3,2,17,5,9,2,0,0,37,13,41,8,0,0,0,0,1,0,0,0,18,5,23,11,0,0,171,44,166,71,4,1,3221,1580
GLYNN,4933,the chapel,473,157,672,336,0,0,598,275,733,310,1,0,14,5,12,5,1,1,37,6,42,11,0,0,0,0,3,1,0,0,12,8,18,5,0,0,162,37,165,44,1,0,2944,1201
GLYNN,5913,college place,410,175,589,328,1,1,438,239,620,319,0,0,5,1,12,4,0,0,18,1,28,5,0,0,0,0,3,1,0,0,5,3,11,5,0,0,101,27,116,48,1,0,2358,1157
GLYNN,5923,howard coffin park,563,176,810,319,3,0,678,347,735,417,0,0,6,3,7,2,0,0,20,5,25,8,0,0,2,1,3,1,0,0,15,5,21,5,0,0,149,41,164,61,0,0,3201,1391
GLYNN,5933,burroughs molette,1003,319,1786,787,4,0,160,41,245,74,0,0,4,1,5,0,0,0,20,1,22,2,0,0,0,0,1,0,0,0,14,2,28,7,0,0,154,33,192,51,3,0,3641,1318
GLYNN,5943,selden park,314,98,487,214,1,0,182,71,207,78,2,1,2,0,2,0,0,0,9,1,12,2,0,0,0,0,1,0,0,0,6,1,5,0,0,0,84,10,72,22,2,1,1388,499
GLYNN,88888,88888,2,0,3,0,0,0,5,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0
GLYNN,99999,99999,2,0,4,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,25,0
HABERSHAM,1,habersham north,44,18,47,27,0,0,3521,2346,4076,2666,5,2,15,6,24,14,0,0,40,17,41,20,1,1,0,0,4,2,0,0,22,10,17,9,0,0,341,132,278,122,4,2,8480,5394
HABERSHAM,2,habersham south,98,37,138,78,0,0,2118,1340,2423,1480,4,2,76,14,60,16,0,0,156,37,133,44,0,0,2,1,8,1,0,0,13,3,17,5,0,0,266,60,247,75,3,0,5762,3193
HABERSHAM,3,demorest,18,4,16,8,0,0,1960,1191,2171,1344,0,0,13,5,16,5,0,0,41,17,31,11,0,0,4,3,1,0,0,0,10,4,11,3,0,0,186,72,175,66,4,0,4657,2733
HABERSHAM,4,town of mount airy,12,6,15,11,0,0,269,165,315,181,0,0,13,2,12,2,0,0,26,6,17,7,0,0,0,0,1,1,0,0,2,0,0,0,0,0,34,5,23,6,1,0,740,392
HABERSHAM,5,city of baldwin,23,8,30,7,0,0,337,166,425,199,1,0,6,3,19,7,0,0,68,18,62,16,0,0,0,0,0,0,0,0,4,1,5,2,0,0,81,10,57,10,0,0,1118,447
HABERSHAM,6,mud creek,36,15,37,13,0,0,1647,1052,1780,1089,1,1,25,6,27,6,0,0,87,21,73,32,0,0,1,0,3,0,0,0,11,3,6,3,0,0,196,49,172,54,0,0,4102,2344
HABERSHAM,7,amys creek,1,1,3,0,0,0,655,472,667,490,0,0,1,1,4,1,0,0,2,2,4,1,0,0,2,2,0,0,0,0,2,2,1,0,0,0,50,27,58,31,1,1,1451,1031
HABERSHAM,88888,88888,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HABERSHAM,99999,99999,0,0,1,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,13,0
DOOLY,10,lilly,119,57,160,94,0,0,134,94,135,83,0,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,10,2,8,4,0,0,572,339
DOOLY,2,byromville,141,81,169,116,0,0,127,91,137,110,0,0,2,1,2,1,0,0,9,2,10,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,13,3,17,10,0,0,629,418
DOOLY,5,unadilla,302,153,452,307,1,0,351,240,378,272,0,0,6,0,3,1,0,0,14,3,22,5,0,0,0,0,1,0,0,0,4,1,4,3,0,0,32,14,29,12,1,1,1600,1012
DOOLY,7,vienna,571,256,823,502,0,0,559,419,649,464,0,0,7,0,7,3,0,0,15,4,15,2,0,0,0,0,2,1,0,0,3,0,2,0,0,0,49,13,38,13,0,0,2740,1677
DOOLY,8,pinehurst,54,33,85,60,0,0,152,124,163,135,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,5,4,5,4,0,0,468,362
DOOLY,88888,88888,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
DOOLY,99999,99999,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
BALDWIN,1714,scottsboro,132,71,180,119,1,1,305,187,351,191,2,2,2,1,2,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,31,6,23,3,0,0,1037,584
BALDWIN,318,north baldwin,223,139,297,206,1,1,1177,881,1375,1012,0,0,33,15,29,15,0,0,11,4,16,8,0,0,0,0,0,0,0,0,9,5,9,4,0,0,86,33,52,16,0,0,3318,2339
BALDWIN,319,west baldwin,307,191,369,275,0,0,453,327,474,353,0,0,1,1,5,0,0,0,3,2,3,0,0,0,0,0,1,0,0,0,5,2,5,1,0,0,42,14,32,12,0,0,1700,1178
BALDWIN,321e,east hardwick,368,158,522,281,1,0,108,53,121,55,0,0,2,1,2,1,0,0,1,1,2,2,0,0,0,0,0,0,0,0,3,1,3,2,0,0,38,4,24,6,1,0,1196,565
BALDWIN,321w,west hardwick,737,390,1145,780,1,1,266,167,386,233,0,0,2,0,1,0,0,0,6,3,3,2,0,0,2,1,4,0,0,0,2,0,6,4,0,0,67,16,41,15,0,0,2669,1612
BALDWIN,322,coopers,145,90,165,117,0,0,488,352,525,370,0,0,1,1,2,1,0,0,3,3,4,2,0,0,0,0,1,0,0,0,2,1,0,0,0,0,34,7,31,10,0,0,1401,954
BALDWIN,88888,88888,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3
BALDWIN,cty1,south milledgeville,260,134,465,286,0,0,163,96,199,111,0,0,10,3,7,3,0,0,9,6,8,5,0,0,3,1,1,0,0,0,4,4,2,1,0,0,21,6,32,8,0,0,1184,664
BALDWIN,cty2,city hall annex,192,85,240,133,0,0,186,92,184,111,2,1,5,1,3,0,0,0,1,0,4,2,0,0,1,0,0,0,0,0,4,2,5,2,0,0,28,2,23,7,0,0,878,438
BALDWIN,cty3,boddie,313,127,566,284,0,0,143,73,189,103,0,0,3,1,3,2,0,0,2,1,6,3,0,0,0,0,1,0,0,0,4,1,13,4,0,0,40,9,31,10,1,0,1315,618
BALDWIN,cty4,courthouse,43,27,79,48,0,0,136,77,172,90,1,1,2,0,5,3,0,0,5,1,9,2,0,0,1,0,0,0,0,0,1,1,3,1,0,0,12,3,14,5,0,0,483,259
BALDWIN,cty5,fire dept,329,171,504,340,0,0,226,111,274,160,1,1,11,3,15,3,0,0,2,0,8,6,0,0,1,1,1,0,0,0,5,2,7,3,0,0,32,11,26,10,0,0,1442,822
BALDWIN,cty6,north milledgeville,233,147,397,272,0,0,598,419,705,504,2,2,18,7,20,10,0,0,9,7,10,6,0,0,5,3,2,1,0,0,4,0,5,3,0,0,36,13,35,15,0,0,2079,1409
BALDWIN,meri,meriweather,272,174,338,252,0,0,829,614,987,704,0,0,6,3,10,5,0,0,11,6,19,12,0,0,1,0,3,1,0,0,10,6,6,4,0,0,59,23,53,24,0,0,2604,1828
BALDWIN,mont,east baldwin,541,304,683,504,1,0,980,729,1097,802,0,0,2,0,3,1,0,0,8,4,6,2,0,0,3,2,5,1,0,0,3,1,8,1,0,0,86,36,60,28,0,0,3486,2415
HOUSTON,5,nan,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HOUSTON,88888,88888,5,0,4,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,18,1
HOUSTON,99999,99999,13,0,5,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,0
HOUSTON,annx,annx,347,223,457,330,1,0,1420,998,1602,1074,2,2,28,11,45,21,2,0,45,18,79,31,1,0,1,1,5,3,0,0,18,11,25,12,1,0,212,96,174,83,4,1,4469,2915
HOUSTON,bms,bms,698,492,821,607,1,1,3005,2008,3196,2076,4,2,70,31,122,68,0,0,79,40,97,57,0,0,4,0,5,1,1,1,42,26,49,25,0,0,476,208,386,177,5,2,9061,5822
HOUSTON,cent,cent,721,430,1062,730,4,1,2178,1293,2494,1437,4,1,72,28,100,41,0,0,73,24,98,32,1,1,7,4,6,2,0,0,46,23,47,26,0,0,328,113,271,92,6,1,7518,4279
HOUSTON,cgtc,cgtc,430,283,510,391,0,0,1392,913,1504,968,2,1,34,14,56,24,0,0,51,26,61,27,0,0,0,0,1,1,0,0,24,11,33,16,0,0,192,81,185,81,2,0,4477,2837
HOUSTON,fmms,fmms,1058,660,1375,976,4,3,2390,1475,2665,1579,4,1,96,40,134,57,0,0,94,42,135,57,1,1,5,2,7,2,0,0,57,32,68,33,2,1,395,160,385,152,7,4,8882,5277
HOUSTON,hafs,hafs,124,69,153,109,1,0,618,434,638,443,1,1,3,3,3,3,0,0,10,6,16,7,0,0,2,2,1,1,0,0,3,2,3,3,0,0,31,8,23,14,0,0,1630,1105
HOUSTON,hctc,hctc,804,388,1233,672,5,0,1680,903,1994,1044,4,1,37,13,60,22,0,0,62,19,92,32,0,0,4,2,5,2,0,0,39,15,56,21,1,0,356,94,309,85,5,2,6746,3315
HOUSTON,hefs,hefs,182,107,233,165,0,0,385,273,382,290,0,0,1,0,4,3,0,0,6,3,3,1,0,0,2,2,2,2,0,0,5,2,2,1,0,0,31,8,22,12,0,0,1260,869
HOUSTON,hhpc,hhpc,1390,612,2099,1188,13,2,2236,1263,2590,1445,2,0,36,11,55,25,0,0,89,31,141,54,0,0,2,0,5,1,0,0,51,17,69,27,0,0,406,93,384,107,12,2,9580,4878
HOUSTON,mcms,mcms,852,582,1098,801,2,1,2534,1628,2690,1649,3,0,181,79,189,95,1,1,88,43,124,58,0,0,8,3,10,5,0,0,49,28,76,32,0,0,449,190,446,210,6,4,8806,5409
HOUSTON,nses,nses,235,151,281,218,0,0,781,521,841,533,1,0,5,2,15,6,0,0,19,12,25,14,0,0,0,0,1,0,0,0,5,3,14,9,0,0,82,26,95,31,2,0,2402,1526
HOUSTON,recr,recr,2336,961,3548,1857,32,11,1042,467,1183,445,2,0,31,12,53,24,1,0,89,23,122,31,0,0,6,4,9,2,1,1,33,12,81,27,0,0,499,93,454,111,13,4,9535,4085
HOUSTON,rozr,rozr,1441,723,2144,1341,2,0,3861,2590,4448,2919,6,3,62,17,83,26,1,0,82,39,87,41,0,0,8,2,7,3,0,0,36,16,39,16,0,0,306,123,282,131,5,2,12900,7992
HOUSTON,tms,tms,767,388,1343,849,3,3,1075,584,1385,712,3,1,72,22,70,28,0,0,53,14,86,30,0,0,4,2,1,0,0,0,24,10,31,10,0,0,259,70,255,87,6,0,5437,2810
HOUSTON,twpk,twpk,516,309,687,456,1,1,1372,914,1440,895,1,1,19,7,39,18,0,0,35,16,55,22,0,0,4,3,3,2,0,0,26,9,27,14,0,0,160,62,144,58,4,0,4533,2787
HOUSTON,vhs,vhs,437,261,550,399,1,0,1892,1257,1921,1259,5,4,30,18,52,21,0,0,42,22,71,31,0,0,2,2,4,0,1,0,19,11,35,21,1,0,206,83,215,89,2,1,5486,3479
WHEELER,1,alamo,247,134,290,189,0,0,557,404,625,419,1,1,0,0,1,0,0,0,7,4,6,2,0,0,0,0,0,0,0,0,3,3,5,0,0,0,34,10,35,13,0,0,1811,1179
WHEELER,2,glenwood,108,66,145,95,0,0,450,290,462,284,0,0,0,0,0,0,0,0,2,2,6,1,0,0,1,0,0,0,0,0,1,0,3,0,0,0,26,8,22,5,0,0,1226,751
WHEELER,88888,88888,5,1,1,1,0,0,1,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6
BRYAN,1,pembroke,224,90,343,196,1,0,731,412,844,467,1,0,10,3,10,4,0,0,7,1,20,7,0,0,1,0,3,2,0,0,8,1,4,2,0,0,131,27,121,36,1,0,2460,1248
BRYAN,10,danielsiding,99,62,116,70,0,0,867,503,924,522,3,2,9,5,11,4,0,0,23,12,33,13,0,0,2,2,1,1,0,0,9,6,11,3,0,0,132,59,114,54,1,0,2355,1318
BRYAN,2,ellabell,90,50,116,58,0,0,723,435,847,490,0,0,7,0,12,7,0,0,9,4,11,4,0,0,3,1,1,0,0,0,5,3,5,2,0,0,131,38,93,28,1,1,2054,1121
BRYAN,3,black creek,152,65,170,101,0,0,963,489,1081,564,3,3,3,1,2,2,0,0,15,8,11,4,0,0,2,0,4,2,0,0,7,5,7,2,0,0,161,50,146,38,0,0,2727,1334
BRYAN,4,ways station,167,75,212,119,1,1,532,248,575,277,1,0,41,13,37,11,0,0,33,6,34,12,0,0,4,2,2,1,0,0,10,3,16,7,0,0,125,43,122,40,1,0,1913,858
BRYAN,421,nan,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BRYAN,5,rh recreation compx,259,116,360,180,0,0,887,404,1167,504,3,1,34,13,37,12,1,0,85,20,103,26,0,0,2,1,6,2,0,0,21,7,29,13,0,0,202,58,213,67,4,0,3413,1424
BRYAN,6,j.f.gregory park,79,42,84,47,1,0,1183,756,1255,788,1,1,11,4,16,4,0,0,21,15,43,24,0,0,4,3,3,2,0,0,10,5,15,10,0,0,119,60,144,75,1,1,2990,1837
BRYAN,7,keller,184,103,178,121,0,0,1577,952,1626,982,1,0,14,8,28,7,0,0,44,19,47,26,1,0,5,5,2,1,0,0,26,8,25,14,0,0,249,111,246,112,1,0,4254,2469
BRYAN,8,hwy 144 east,185,112,210,149,1,1,1350,855,1539,917,2,0,29,11,44,19,0,0,75,35,95,42,0,0,4,2,5,3,0,0,21,9,26,17,1,1,215,96,226,115,4,3,4032,2387
BRYAN,88888,88888,0,0,5,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0
BRYAN,9,public safety compx,162,68,272,124,0,0,681,301,821,382,0,0,22,5,14,8,0,0,41,8,62,20,0,0,9,4,3,1,0,0,14,1,26,13,0,0,163,50,131,37,1,0,2422,1022
EMANUEL,50,oak park,10,2,15,8,0,0,280,191,288,202,1,1,0,0,0,0,0,0,6,0,9,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,25,9,34,7,0,0,670,422
EMANUEL,52,cross-green,51,29,88,67,0,0,35,23,34,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,3,6,2,0,0,219,151
EMANUEL,53,swainsboro,985,393,1648,824,1,0,1555,1057,1884,1266,2,1,15,9,18,7,0,0,26,7,26,9,0,0,1,0,4,2,0,0,10,4,14,3,0,0,299,63,270,68,2,1,6760,3714
EMANUEL,57,summertown,43,20,60,40,0,0,162,108,178,125,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,18,6,19,1,0,0,484,302
EMANUEL,58,stillmore,81,30,120,75,0,0,148,94,168,92,0,0,0,0,0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,9,22,2,1,0,578,304
EMANUEL,1208,blundale,3,1,4,1,0,0,288,219,333,238,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,20,5,19,7,0,0,669,472
EMANUEL,1333,canoochee,54,26,68,42,0,0,206,167,243,174,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,28,5,26,9,0,0,629,424
EMANUEL,1429,garfield,30,17,46,32,0,0,168,126,183,134,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,14,4,0,0,461,317
EMANUEL,1502,nunez,37,19,32,20,0,0,123,79,133,90,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,1,0,3,2,0,0,10,3,19,3,0,0,362,217
EMANUEL,1560,twin city,213,113,314,190,0,0,400,282,458,329,0,0,1,0,1,1,0,0,0,0,3,1,0,0,1,0,0,0,0,0,1,0,3,1,0,0,72,22,54,16,0,0,1521,955
EMANUEL,1748,adrian,29,5,36,23,0,0,300,195,340,223,0,0,0,0,0,0,0,0,4,0,3,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,26,9,26,7,0,0,766,464
EMANUEL,88888,88888,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
BRANTLEY,1,hoboken,18,7,16,13,0,0,1342,849,1533,942,1,0,4,3,4,2,0,0,5,1,8,1,0,0,0,0,0,0,0,0,2,1,3,2,0,0,90,22,82,24,2,0,3110,1867
BRANTLEY,2,nahunta,50,18,80,52,0,0,1602,933,1813,1028,1,0,1,0,2,1,0,0,6,2,7,0,0,0,1,0,2,1,0,0,6,2,8,5,0,0,107,28,92,19,0,0,3778,2089
BRANTLEY,3,waynesville,57,27,72,43,0,0,1650,772,1718,809,1,0,1,1,3,1,0,0,13,4,15,6,0,0,5,4,2,0,0,0,7,1,16,4,0,0,135,35,82,17,0,0,3777,1724
BRANTLEY,88888,88888,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
FULTON,4,nan,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FULTON,1,nan,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FULTON,1a,01a,415,216,564,336,2,0,946,651,970,690,4,4,33,21,33,25,0,0,44,26,54,38,0,0,3,2,2,2,0,0,26,15,44,32,0,0,230,130,275,165,2,2,3647,2355
FULTON,1b,01b,404,171,503,264,1,0,1255,879,1244,927,4,2,27,20,35,27,0,0,56,30,74,51,0,0,2,2,2,2,0,0,43,25,45,29,1,0,291,155,253,160,8,4,4248,2748
FULTON,1c,01c,645,151,689,286,1,0,93,46,80,43,0,0,3,0,6,2,0,0,13,2,10,7,0,0,0,0,2,0,0,0,13,3,8,2,0,0,104,25,98,34,5,0,1770,601
FULTON,1d,01d,139,70,177,90,0,0,68,52,59,32,1,1,6,4,5,3,0,0,3,2,5,5,0,0,0,0,0,0,0,0,1,1,5,4,0,0,45,19,50,22,2,0,566,305
FULTON,1e,01e,508,194,531,306,2,0,1059,748,1003,716,8,4,19,13,24,19,0,0,27,19,40,30,1,1,2,0,2,0,0,0,30,17,36,21,0,0,261,140,261,181,2,1,3816,2410
FULTON,1f,01f,630,139,576,196,1,0,62,27,39,13,0,0,8,2,3,2,0,0,10,3,9,3,0,0,0,0,1,0,0,0,13,4,10,1,0,0,106,26,94,31,6,0,1568,447
FULTON,1g,01g,692,214,727,360,2,0,233,168,243,164,1,0,14,7,18,9,0,0,26,13,18,10,0,0,2,1,2,1,0,0,25,7,30,15,0,0,128,43,162,83,3,1,2326,1096
FULTON,1h,01h,267,86,369,189,1,0,46,21,32,20,0,0,3,2,3,1,0,0,8,3,5,1,0,0,0,0,1,1,0,0,2,0,4,1,0,0,57,13,59,31,1,0,858,369
FULTON,1i,01i,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FULTON,1j,01j,882,251,1251,628,3,2,107,52,90,50,0,0,8,3,7,4,0,0,17,8,13,8,0,0,1,1,2,0,0,0,11,3,19,13,0,0,185,47,199,97,7,1,2802,1168
FULTON,1p,01p,497,151,659,315,0,0,23,14,15,6,0,0,0,0,1,0,0,0,7,4,6,0,0,0,0,0,0,0,0,0,6,0,9,5,0,0,69,15,83,30,2,0,1377,540
FULTON,1r,01r,533,115,873,311,5,0,22,8,20,7,0,0,1,0,2,0,0,0,5,3,11,3,0,0,0,0,2,1,0,0,5,1,3,0,0,0,60,9,95,33,5,0,1642,491
FULTON,1s,01s,734,256,854,422,3,2,31,17,37,21,0,0,1,0,4,3,0,0,16,6,18,6,0,0,0,0,0,0,0,0,8,1,8,3,0,0,118,31,134,58,2,0,1968,826
FULTON,1t,01t,495,157,484,209,0,0,230,146,177,118,0,0,5,4,7,6,0,0,51,12,45,22,0,0,2,2,1,1,0,0,16,8,17,10,1,0,118,43,105,51,2,2,1756,791
FULTON,2a,02a,359,189,277,173,1,0,1910,1119,1376,800,4,4,120,72,129,67,0,0,85,45,70,36,0,0,6,4,6,3,0,0,65,35,48,25,1,0,469,206,367,166,6,4,5299,2948
FULTON,2b,02b,1647,289,840,284,5,1,595,246,344,146,1,1,55,15,45,20,2,1,51,20,41,14,0,0,11,0,5,2,0,0,76,15,60,21,1,0,392,81,209,84,10,1,4390,1241
FULTON,2c,02c,449,226,430,233,0,0,520,276,393,194,1,1,29,10,34,19,0,0,57,35,41,16,1,0,0,0,2,1,0,0,30,12,36,18,0,0,213,88,172,71,4,2,2412,1202
FULTON,2d,02d,681,274,966,465,4,1,1216,686,1103,660,9,7,78,43,98,56,0,0,74,39,80,41,0,0,4,1,3,2,0,0,45,20,58,34,0,0,378,163,355,173,8,6,5160,2671
FULTON,2e,02e,60,30,68,45,0,0,759,521,801,565,1,0,28,16,32,22,1,0,19,10,30,22,0,0,0,0,0,0,0,0,22,14,31,18,0,0,149,77,159,87,2,1,2162,1428
FULTON,2f1,02f1,123,68,164,93,1,0,1220,728,1163,721,4,2,46,26,71,39,1,0,50,23,56,34,1,0,3,1,1,1,0,0,42,26,52,33,0,0,270,116,254,119,5,4,3527,2034
FULTON,2f2,02f2,122,40,186,74,0,0,232,125,207,123,1,1,15,8,13,10,0,0,13,6,7,4,0,0,1,1,0,0,0,0,5,1,12,5,0,0,62,29,52,25,1,1,929,453
FULTON,2g,02g,304,161,282,179,0,0,1202,716,1295,794,5,2,57,33,60,38,0,0,45,30,51,35,0,0,2,2,3,2,0,0,39,23,48,32,0,0,328,164,314,150,3,2,4038,2363
FULTON,2j,02j,130,49,72,35,0,0,991,563,783,482,3,3,25,13,36,24,0,0,38,22,40,22,0,0,0,0,1,1,0,0,34,22,23,12,0,0,263,109,174,73,3,0,2616,1430
FULTON,2k,02k,81,31,68,38,0,0,627,367,513,299,4,2,35,17,34,20,0,0,32,15,23,12,0,0,1,0,1,1,0,0,32,18,18,9,0,0,154,79,93,38,4,3,1720,949
FULTON,2l1,02l1,519,245,497,276,0,0,2628,1507,1728,962,9,6,187,92,174,94,1,1,173,87,108,60,1,1,5,1,5,2,0,0,87,46,65,37,2,0,670,312,503,228,10,8,7372,3965
