County,Precinct_ID,Precinct_name,Black_Male_reg,Black_Male_voted,Black_Female_reg,Black_Female_voted,Black_unknown_reg,Black_unknown_voted,White_Male_reg,White_Male_voted,White_Female_reg,White_Female_voted,White_unknown_reg,White_unknown_voted,Asian_Male_reg,Asian_Male_voted,Asian_Female_reg,Asian_Female_voted,Asian_unknown_reg,Asian_unknown_voted,Hisp_Male_reg,Hisp_Male_voted,Hisp_Female_reg,Hisp_Female_voted,Hisp_unknown_reg,Hisp_unknown_voted,NAm_Male_reg,NAm_Male_voted,NAm_Female_reg,NAm_Female_voted,NAm_unknown_reg,NAm_unknown_voted,Other_Male_reg,Other_Male_voted,Other_Female_reg,Other_Female_voted,Other_unknown_reg,Other_unknown_voted,Unknown_Male_reg,Unknown_Male_voted,Unknown_Female_reg,Unknown_Female_voted,Unknown_unknown_reg,Unknown_unknown_voted,Total_reg,Total_voted
WILKINSON,5,irwinton,175,111,252,183,1,1,161,120,175,132,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,13,7,10,4,0,0,792,559
WILKINSON,6,ivey,16,7,20,9,0,0,375,245,426,268,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,2,2,0,0,34,7,24,6,0,0,901,544
WILKINSON,7,lord,120,80,157,127,0,0,194,128,191,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,16,5,8,2,0,0,689,480
WILKINSON,8,midway,313,171,426,297,1,0,75,55,88,61,0,0,2,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,20,5,13,7,0,0,943,598
WILKINSON,10,ramah,376,221,513,379,0,0,394,280,433,324,0,0,1,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,6,4,2,1,0,0,26,13,21,8,0,0,1776,1231
WILKINSON,11,turkey creek,57,26,57,43,0,0,144,115,146,109,0,0,0,0,3,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,2,0,0,422,301
DOUGHERTY,1,palmyra meth church,483,165,674,322,17,1,678,338,734,404,2,0,6,1,9,4,0,0,12,1,14,3,0,0,1,1,2,1,0,0,13,3,5,1,0,0,122,21,109,26,2,0,2883,1292
DOUGHERTY,2,sherwood elem ,655,257,1094,600,11,2,539,265,806,414,2,1,15,5,19,3,0,0,23,5,26,7,0,0,1,0,2,0,0,0,17,6,14,5,0,0,139,31,155,53,4,1,3522,1655
DOUGHERTY,3,covenant church,462,188,581,314,7,1,522,304,625,348,2,1,4,0,6,2,0,0,10,1,15,3,2,1,0,0,0,0,0,0,6,1,8,3,0,0,107,17,66,17,5,1,2428,1202
DOUGHERTY,4,greenbriar church,646,371,920,626,4,2,970,671,1077,733,2,0,21,7,19,5,0,0,22,9,17,9,0,0,1,0,4,0,0,0,15,5,16,5,0,0,105,43,116,36,2,1,3957,2523
